algorithm design techniques, algorithm design techniqueses	algoritmdesigntekniker, algoritmdesignteknikret, algoritmdesigntekniker	N
algorithm design, algorithm designs	algoritmdesign, algoritmdesignen, algoritmdesigner	N
algorithm, algorithms	algoritm, algoritmen, algoritmer	N
algorithmic	algoritmisk, algoritmiskt, algoritmiska	A
alliance, alliances	förbund, förbundet, förbund	N
allocation, allocations	fördelning, fördelningen, fördelningar	N
allow, allowed, allowed	 låta, lät, låtit	V
alternate, alternated, alternated	 växla, växlade, växlat	V
amplitude, amplitudes	amplitud, amplituden, amplituder	N
analyse, analysed, analysed	 analysera, analyserade, analyserat	V
analysis, analysises	analys, analysen, analyser	N
analytical	analytisk, analytiskt, analytiska	A
anisotropic	anisotrop, anisotropt, anisotropa	A
answer, answers	svar, svaret, svar	N
antenna, antennas	antenn, antennen, antenner	N
antibiotic, antibiotics	antibiotikum, antibiotikumet, antibiotika	N
antivirus, antiviruses	antivirus, antiviruset, antivirus	N
appliance, appliances	tillämpning, tillämpningen, tillämpningar	N
application software, application softwares	tillämpningsprogram, tillämpningsprogramet, tillämpningsprogram	N
application, applications	applikation, applikationen, applikationer	N
applied data science, applied data sciences	applicerad datavetenskap, applicerade datavetenskapen, applicerade datavetenskaper	N
apply, applied, applied	 applicera, applicerade, applicerat	V
appropriate, appropriated, appropriated	 bestämma, bestämde, bestämt	V
approximate, approximated, approximated	 approximera, approximerade, approximerat	V
approximation, approximations	approximation, approximationen, approximationer	N
architect, architects	arkitekt, arkitekten, arkitekter	N
architectural	arkitekturell, arkitekturellt, arkitekturella	A
architecture, architectures	arkitektur, arkitekturen, arkitekturer	N
argue, argued, argued	 argumentera, argumenterade, argumenterat	V
argument, arguments	argument, argumentet, argument	N
arithmetic, arithmetics	aritmetik, aritmetiken, aritmetiker	N
array, arrays	fält, fältet, fält	N
arrival, arrivals	ankomst, ankomsten, ankomster	N
article, articles	artikel, artikeln, artiklar	N
articulate, articulated, articulated	 artikulera, artikulerade, artikulerat	V
artificial	artificiell, artificiellt, artificiella	A
artificial intelligence, artificial intelligences	artificiell intelligens, artificiella intelligensen, artificiella intelligenser	N
aspect, aspects	aspekt, aspekten, aspekter	N
assembly code, assembly codes	assemblykod, assemblykoden, assemblykoder	N
assembly programming, assembly programmings	assemblerprogrammering, assemblerprogrammeringen, assemblerprogrammeringar	N
assembly, assemblies	assembly, assemblyn, assemblys	N
assess, assessed, assessed	 bedöma, bedömde, bedömt	V
assessment, assessments	bedömning, bedömningen, bedömningar	N
assign, assigned, assigned	 tilldela, tilldelade, tilldelat	V
assignment, assignments	inlämningsuppgift, inlämningsuppgiften, inlämningsuppgifter	N
assist, assisted, assisted	 hjälpa, hjälpte, hjälpt	V
assistant, assistants	assistent, assistenten, assistenter	N
associate, associated, associated	 associera, associerade, associerat	V
association, associations	samband, sambandet, samband	N
associative	associativ, associativt, associativa	A
assume, assumed, assumed	 anta, antog, antagit	V
asymmetric	asymmetrisk, asymmetriskt, asymmetriska	A
asymptotic	asymptotisk, asymptotiskt, asymptotiska	A
asynchronous	asynkron, asynkront, asynkrona	A
attachment, attachments	bilaga, bilagan, bilagor	N
attack model, attack models	attackmodell, attackmodellen, attackmodeller	N
attack, attacked, attacked	 angripa, angrep, angripit	V
attack, attacks	attack, attacken, attacker	N
attenuation, attenuations	försvagning, försvagningen, försvagningar	N
attribute, attributes	attribut, attributet, attribut	N
audio, audios	ljud, ljudet, ljud	N
authentication, authentications	autentisering, autentiseringen, autentiseringar	N
authore, authored, authored	 författa, författade, författat	V
authority, authorities	myndighet, myndigheten, myndigheter	N
automata theory, automata theories	automatteori, automatteorien, automatteoriar	N
automate, automated, automated	 automatisera, automatiserade, automatiserat	V
automated	automatiserad, automatiserat, automatiserade	A
automation, automations	automatisering, automatiseringen, automatiseringar	N
automaton, automata	automat, automaten, automater	N
autonomous	självstyrande, självstyrande, självstyrande	A
availability, availabilities	tillgång, tillgången, tillgångar	N
available	tillgänglig, tillgängligt, tillgängliga	A
average	genomsnittlig, genomsnittligt, genomsnittliga	A
average, averages	genomsnitt, genomsnittet, genomsnitt	N
axial	axial, axialt, axiala	A
bachelor, bachelors	kandidat, kandidaten, kandidater	N
background, backgrounds	bakgrund, bakgrunden, bakgrunder	N
balance, balanced, balanced	 balansera, balanserade, balanserat	V
bandwidth, bandwidths	bandbredd, bandbredden, bandbredder	N
base, based, based	 basera, baserade, baserat	V
basic	grundläggande, grundläggande, grundläggande	A
basic principle, basic principles	grundprincip, grundprincipen, grundprinciper	N
basic, basics	grund, grunden, grunder	N
batch, batches	batch, batchen, batcher	N
baud, bauds	baud, baudet, baud	N
begin, began, begun	 börja, började, börjat	V
behavior, behaviors	beteende, beteendet, beteenden	N
behaviour, behaviours	beteende, beteendet, beteenden	N
benchmark, benchmarks	riktvärde, riktvärdet, riktvärden	N
bidirectional	dubbelriktad, dubbelriktat, dubbelriktade	A
big data, big data	stor data, stora datan, stora data	N
binary	binär, binärt, binära	A
binary number, binary numbers	binärt tal, binära talet, binära tal	N
binary search algorithm, binary search algorithms	binärsökning, binärsökningen, binärsökningar	N
binary search tree, binary search trees	binärt sökträd, binära sökträdet, binära sökträd	N
binary tree, binary trees	binärträd, binärträdet, binärträd	N
bind, bound, bound	 binda, band, bundit	V
bioinformatics, bioinformatics	bioinformatik, bioinformatiken, bioinformatiker	N
biology, biologies	biologi, biologin, biologier	N
bios, bioses	bios, bioset, bios	N
bipolar	bipolär, bipolärt, bipolära	A
bit rate, bit rates	överföringskapacitet, överföringskapaciteten, överföringskapaciteter	N
bit, bits	bit, biten, bitar	N
bitrate, bitrates	bithastighet, bithastigheten, bithastigheter	N
blacklist, blacklists	svartlista, svartlistan, svartlistor	N
block, blocked, blocked	 hindra, hindrade, hindrat	V
block, blocks	block, blocket, block	N
blueprint, blueprints	blåkopia, blåkopian, blåkopior	N
bluetooth, bluetooths	blåtand, blåtanden, blåtänder	N
book, booked, booked	 boka, bokade, bokat	V
boolean	boolesk, booleskt, booleska	A
boolean data type, boolean data types	boolesk datatyp, booleska datatypen, booleska datatyper	N
boot, booted, booted	 ladda, laddade, laddat	V
border, bordered, bordered	 gränsa, gränsade, gränsat	V
border, borders	gräns, gränsen, gränser	N
bot, bots	bot, boten, botar	N
bottleneck, bottlenecks	flaskhals, flaskhalsen, flaskhalsar	N
bound, bounded, bounded	 gränsa, gränsade, gränsat	V
boundary, boundarys	gräns, gränsen, gränser	N
branch, branched, branched	 grena, grenade, grenat	V
branch, branches	gren, grenen, grenar	N
breadth, breadths	bredd, bredden, bredder	N
bridge, bridges	brygga, bryggan, bryggor	N
broker, brokers	agent, agenten, agenter	N
bug, bugs	bugg, buggen, buggar	N
build, built, built	 bygga, byggde, byggt	V
bulletin, bulletins	rapport, rapporten, rapporter	N
bus, buses	buss, bussen, bussar	N
business information system, business information systems	affärsinformationssystem, affärsinformationssystemet, affärsinformationssystem	N
business, businesses	företag, företaget, företag	N
byte, bytes	byte, byten, bytes	N
cable, cables	kabel, kabeln, kablar	N
cache memory, cache memories	cacheminne, cacheminnet, cacheminnen	N
cache, cached, cached	 gömma, gömde, gömt	V
cache, caches	cache, cachet, cachen	N
calculation, calculations	beräkning, beräkningen, beräkningar	N
calculator, calculators	miniräknare, miniräknaren, miniräknare	N
calculus, calculuss	analys, analysen, analyser	N
call, called, called	 anropa, anropade, anropat	V
call, called, called	 kalla, kallade, kallat	V
call, calls	krav, kravet, krav	N
camera, cameras	kamera, kameran, kameror	N
capability, capabilities	kompetens, kompetensen, kompetenser	N
capacity, capacities	kapacitet, kapaciteten, kapaciteter	N
capsule, capsules	kapsel, kapseln, kapslar	N
captcha, captchas	captcha, captchat, captchas	N
capture, captured, captured	 fånga, fångade, fångat	V
card reader, card readers	kortläsare, kortläsaren, kortläsare	N
card, cards	kort, kortet, kort	N
carriage, carriages	vagn, vagnen, vagnar	N
carrier, carriers	bärare, bäraren, bärare	N
cartridge, cartridges	patron, patronen, patroner	N
cassette, cassettes	kassett, kassetten, kassetter	N
categorical	kategorisk, kategoriskt, kategoriska	A
category, categorys	kategori, kategorin, kategorier	N
cathode, cathodes	katod, katoden, katoder	N
cell, cells	cell, cellen, celler	N
central, centrals	central, centralen, centraler	N
challenge, challenged, challenged	 utmana, utmanade, utmanat	V
challenge, challenges	utmaning, utmaningen, utmaningar	N
change, changed, changed	 ändra, ändrade, ändrat	V
channel, channels	kanal, kanalen, kanaler	N
character, characters	karaktär, karaktären, karaktärer	N
characteristic	karaktäristisk, karaktäristiskt, karaktäristiska	A
chat, chats	prat, pratet, prat	N
chat, chatted, chatted	 chatta, chattade, chattat	V
check, checked, checked	 kontrollera, kontrollerade, kontrollerat	V
check, checks	test, testen, tester	N
chip, chips	chip, chipet, chips	N
cipher, ciphers	chiffer, chiffret, chiffer	N
circuit structure, circuit structures	kretsstruktur, kretsstrukturen, kretsstrukturer	N
circuit, circuits	krets, kretsen, kretsar	N
class diagram, class diagrams	klassmodell, klassmodellen, klassmodeller	N
class, classs	klass, klassen, klasser	N
classification, classifications	klassificering, klassificeringen, klassificeringar	N
classifier, classifiers	klassificerare, klassificeraren, klassificerare	N
classless	klasslös, klasslöst, klasslösa	A
classroom, classrooms	klassrum, klassrummet, klassrum	N
click, clicked, clicked	 klicka, klickade, klickat	V
client, clients	klient, klienten, klienter	N
clock, clocked, clocked	 klocka, klockade, klockat	V
clock, clocks	klocka, klockan, klockor	N
close, closed, closed	 stänga, stängde, stängt	V
closure, closures	hölje, höljet, höljen	N
cloud computing, cloud computings	datormoln, datormolnen, datormolnar	N
cloud, clouds	moln, molnet, moln	N
cluster, clusters	kluster, klustret, kluster	N
code development tool, code development tools	kodutvecklingsverktyg, kodutvecklingsverktyget, kodutvecklingsverktyg	N
code generator, code generators	kodgenerator, kodgeneratorn, kodgeneratorer	N
code, coded, coded	 koda, kodade, kodat	V
code, codes	kod, koden, koder	N
coding theory, coding theories	kodningsteori, kodningsteorien, kodningsteorier	N
cognitive science, cognitive sciences	kognitionsvetenskap, kognitionsvetenskapen, kognitionsvetenskaper	N
coherency, coherencies	sammanhang, sammanhanget, sammanhang	N
collection, collections	samling, samlingen, samlingar	N
collision, collisions	kollision, kollisionen, kollisioner	N
colour, colours	färg, färgen, färger	N
column, columns	kolumn, kolumnen, kolumner	N
combinatorial	kombinatorisk, kombinatoriskt, kombinatoriska	A
comma, commas	komma, kommat, komman	N
command, commanded, commanded	 kräva, krävde, krävt	V
command, commands	kommando, kommandot, kommandon	N
command-line interpreter, command-line interpreters	kommandotolk, kommandotolken, kommandotolkar	N
comment, comments	kommentar, kommentaren, kommentarer	N
commercial	kommersiell, kommersiellt, kommersiella	A
commercial, commercials	reklamfilm, reklamfilmen, reklamfilmer	N
commission, commissions	kommission, kommissionen, kommissioner	N
common	vanlig, vanligt, vanliga	A
communicate, communicated, communicated	 kommunicera, kommunicerade, kommunicerat	V
communication system, communication systems	kommunikationssystem, kommunikationssystemet, kommunikationssystem	N
communication, communications	kommunikation, kommunikationen, kommunikationer	N
communications protocol, communications protocols	kommunikationsprotokoll, kommunikationsprotokollet, kommunikationsprotokoll	N
community, communities	grupp, gruppen, grupper	N
comparable	jämförbar, jämförbart, jämförbara	A
comparison, comparisons	jämförelse, jämförelsen, jämförelser	N
compatibility, compatibilities	förenlighet, förenligheten, förenligheter	N
compatible	kompatibel, kompatibelt, kompatibla	A
compilation, compilations	kompilering, kompileringen, kompileringar	N
compile, compiled, compiled	 kompilera, kompilerade, kompilerat	V
compiler construction, compiler constructions	kompilatorkonstruktion, kompilatorkonstruktionen, kompilatorkonstruktioner	N
compiler techniques, compiler techniqueses	kompilatortekniker, kompilatorteknikret, kompilatortekniker	N
compiler, compilers	kompilator, kompilatorn, kompilatorer	N
complement, complemented, complemented	 komplettera, kompletterade, kompletterat	V
complete, completed, completed	 avsluta, avslutade, avslutat	V
completion, completions	komplettering, kompletteringen, kompletteringar	N
complex	komplex, komplext, komplexa	A
complex, complexes	komplex, komplexet, komplex	N
complexity analysis, complexity analyses	komplexitetsanalys, komplexitetsanalysen, komplexitetsanalyser	N
complexity, complexities	komplexitet, komplexiteten, komplexiteter	N
component	tillhörande, tillhörande, tillhörande	A
component, components	komponent, komponenten, komponenter	N
compose, composed, composed	 komponera, komponerade, komponerat	V
composition, compositions	komposition, kompositionen, kompositioner	N
comprehend, comprehended, comprehended	 begripa, begrep, begripit	V
compulsory	obligatorisk, obligatoriskt, obligatoriska	A
computability theory, computability theories	beräkningsteori, beräkningsteorin, beräkningsteorier	N
computable	beräkningsbar, beräkningsbart, beräkningsbara	A
computation, computations	beräkning, beräkningen, beräkningar	N
computational	beräkningsmässig, beräkningsmässigt, beräkningsmässiga	A
computational biology, computational biologies	beräkningsbiologi, beräkningsbiologien, beräkningsbiologier	N
computational chemistry, computational chemistries	beräkningskemi, beräkningskemien, beräkningskemier	N
computational physics, computational physics	beräkningsfysik, beräkningsfysiken, beräkningsfysiker	N
compute, computed, computed	 beräkna, beräknade, beräknat	V
computer architecture, computer architectures	datorarkitektur, datorarkitekturen, datorarkitekturer	N
computer case, computer cases	datorchassi, datorchassit, datorchassin	N
computer construction, computer constructions	datorkonstruktion, datorkonstruktionen, datorkonstruktioner	N
computer data storage, computer data storages	datorminne, datorminnet, datorminnen	N
computer engineering, computer engineerings	datateknik, datatekniken, datatekniker	N
computer graphics, computer graphics	datorgrafik, datorgrafiken, datorgrafiker	N
computer interaction, computer interactions	datorinteraktion, datorinteraktionen, datorinteraktioner	N
computer mouse, computer mice	datormus, datormuset, datormöss	N
computer network, computer networks	datornätverk, datornätverket, datornätverk	N
computer program, computer programs	datorprogram, datorprogrammet, datorprogram	N
computer science, computer sciences	datavetenskap, datavetenskapen, datavetenskaper	N
computer scientist, computer scientists	datalog, datalogen, dataloger	N
computer security model, computer security models	datasäkerhetsmodell, datasäkerhetsmodellen, datasäkerhetsmodeller	N
computer security, computer securities	datasäkerhet, datasäkerhetet, datasäkerhet	N
computer system architecture, computer system architectures	datorsystemarkitektur, datorsystemarkitekturen, datorsystemarkitekturer	N
computer system component, computer system components	datorsystemkomponent, datorsystemkomponenten, datorsystemkomponenter	N
computer system, computer systems	datorsystem, datorsystemet, datorsystem	N
computer terminal, computer terminals	datorterminal, datorterminalen, datorterminalar	N
computer vision, computer visions	datorseende, datorseendet, datorseenden	N
computer, computers	dator, datorn, datorer	N
computing capacity, computing capacities	beräkningskapacitet, beräkningskapaciteten, beräkningskapaciteter	N
concatenation, concatenations	konkatenering, konkateneringet, konkatenering	N
concept, concepts	koncept, konceptet, koncept	N
conceptual	begreppsmässig, begreppsmässigt, begreppsmässiga	A
conceptualization, conceptualizations	begreppsmässighet, begreppsmässigheten, begreppsmässigheter	N
concrete	konkret, konkret, konkreta	A
concurrency, concurrencies	samtidighet, samtidigheten, samtidigheter	N
concurrent	samverkande, samverkande, samverkande	A
condition, conditions	villkor, villkoret, villkor	N
conditional	villkorlig, villkorligt, villkorliga	A
conference, conferences	konferens, konferensen, konferenser	N
confidential information, confidential informations	konfidentiell information, konfidentiella informationen, konfidentiella informationer	N
configuration, configurations	konfiguration, konfigurationen, konfigurationer	N
congestion control, congestion controls	stockningskontroll, stockningskontrollen, stockningskontroller	N
congestion, congestions	stockning, stockningen, stockningar	N
congress, congresses	kongress, kongressen, kongresser	N
conjunction, conjunctions	konjunktion, konjunktionen, konjunktioner	N
connect, connected, connected	 ansluta, anslöt, anslutit	V
connection, connections	anslutning, anslutningen, anslutningar	N
connector, connectors	kopplingsdon, kopplingsdonet, kopplingsdon	N
conquer, conquered, conquered	 erövra, erövrade, erövrat	V
consistent	konsekvent, konsekvent, konsekventa	A
console, consoles	konsol, konsolen, konsoller	N
constant	konstant, konstant, konstanta	A
constant, constants	konstant, konstanten, konstanter	N
constrain, constrained, constrained	 begränsa, begränsade, begränsat	V
constraint, constraints	begränsning, begränsningen, begränsningar	N
construct, constructed, constructed	 konstruera, konstruerade, konstruerat	V
construction, constructions	konstruktion, konstruktionen, konstruktioner	N
constructor, constructors	konstruktor, konstruktorn, konstruktorer	N
consumer, consumers	konsument, konsumenten, konsumenter	N
consumption, consumptions	konsumption, konsumptionen, konsumptioner	N
container, containers	behållare, behållaren, behållare	N
content, contents	innehåll, innehållet, innehåll	N
context, contexts	kontext, kontexten, kontexter	N
context-free	kontextfri, kontextfritt, kontextfria	A
continual	ständig, ständigt, ständiga	A
continuation, continuations	fortsättning, fortsättningen, fortsättningar	N
continuity, continuities	kontinuitet, kontinuiteten, kontinuiteter	N
continuous	kontinuerlig, kontinuerligt, kontinuerliga	A
contravariance, contravariances	kontravarians, kontravariansen, kontravarianser	N
control flow, control flows	programflöde, programflödet, programflöden	N
control system, control systems	styrsystem, styrsystemet, styrsystem	N
control unit, control units	styrenhet, styrenheten, styrenheter	N
control, controlled, controlled	 kontrollera, kontrollerade, kontrollerat	V
control, controls	kontroll, kontrollen, kontroller	N
controller, controllers	kontrollant, kontrollanten, kontrollanter	N
convention, conventions	konvention, konventionen, konventioner	N
convergence, convergences	konvergens, konvergensen, konvergenser	N
convert, converted, converted	 omvandla, omvandlade, omvandlat	V
converter, converters	konverterare, konverteraren, konverterare	N
cooling, coolings	kylning, kylningen, kylningar	N
cooperative	samverkande, samverkande, samverkande	A
coordinate, coordinated, coordinated	 samordna, samordnade, samordnat	V
copy, copied, copied	 kopiera, kopierade, kopierat	V
copyright, copyrights	upphovsrätt, upphovsrätten, upphovsrätter	N
core memory, core memories	kärnminne, kärnminnet, kärnminnen	N
core, cores	kärna, kärnan, kärnor	N
corporation, corporations	bolag, bolaget, bolag	N
correction, corrections	rättelse, rättelsen, rättelser	N
correctness, correctnesses	korrekthet, korrekthetet, korrekthet	N
cost, costs	kostnad, kostnaden, kostnader	N
countermeasure, countermeasures	motåtgärd, motåtgärden, motårgärder	N
coupler, couplers	koppling, kopplingen, kopplingar	N
course plan, course plans	kursplan, kursplanen, kursplaner	N
course, courses	kurs, kursen, kurser	N
covariance, covariances	kovarians, kovariansen, kovarianser	N
create, created, created	 skapa, skapade, skapat	V
creativity, creativities	kreativitet, kreativiteten, kreativiteter	N
cross, crosses	kors, korset, kors	N
crosstalk, crosstalks	överhörning, överhörningen, överhörningar	N
cryptanalysis, cryptanalysises	kryptanalys, kryptanalysen, kryptanalyser	N
cryptography, cryptographies	kryptografi, kryptografin, kryptografier	N
cryptology, cryptologys	kryptologi, kryptologin, kryptologier	N
crystal, crystals	kristall, kristallen, kristaller	N
current	nuvarande, nuvarande, nuvarande	A
current, currents	ström, strömmen, strömmar	N
curve, curved, curved	 svänga, svängde, svängt	V
curve, curves	kurva, kurvan, kurvor	N
customer, customers	kund, kunden, kunder	N
cyber security, cyber securities	cybersäkerhet, cybersäkerheten, cybersäkerheter	N
cyberbullying, cyberbullyings	nätmobbning, nätmobbningen, nätmobbningar	N
cybernetics, cybernetics	cybernetik, cybernetiken, cybernetiker	N
cyberspace, cyberspaces	cyberrymd, cyberrymden, cyberrymder	N
cycle, cycles	cykel, cykeln, cykler	N
cyclic	cyklisk, cykliskt, cykliska	A
cylinder, cylinders	cylinder, cylindern, cylindrar	N
daemon, daemons	daemon, daemonet, daemons	N
data abstraction, data abstractions	dataabstraktion, dataabstraktionen, dataabstraktioner	N
data center, data centers	datorhall, datorhallen, datorhallar	N
data collection, data collections	datasamling, datasamlingen, datasamlingar	N
data communication, data communications	datakommunikation, datakommunikationen, datakommunikationer	N
data dependency, data dependencies	databeroende, databeroendet, databeroenden	N
data management, data managements	datahantering, datahanteringen, datahanteringar	N
data mining, data minings	datautvinning, datautvinningen, datautvinningar	N
data processing, data processings	databehandling, databehandlingen, databehandlingar	N
data set, data sets	datamängd, datamängden, datamängder	N
data storage device, data storage devices	lagringsmedium, lagringsmediumet, lagringsmedium	N
data structure, data structures	datastruktur, datastrukturen, datastrukturer	N
data type, data types	datatyp, datatypen, datatyper	N
data, datas	data, datan, data	N
database administator, database administators	databasadministratör, databasadministratören, databasadministratörer	N
database, databases	databas, databasen, databaser	N
day, days	dag, dagen, dagar	N
death, deaths	död, döden, dödar	N
debugger, debuggers	avlusare, avlusaren, avlusare	N
decide, decided, decided	 bestämma, bestämde, bestämt	V
decimal, decimals	decimal, decimalen, decimaler	N
declaration, declarations	deklaration, deklarationen, deklarationer	N
declare, declared, declared	 deklarera, deklarerade, deklarerat	V
decompose, decomposed, decomposed	 nedbryta, nedbröt, nedbrutit	V
default, defaults	standard, standarden, standarder	N
define, defined, defined	 definiera, definierade, definierat	V
definition, definitions	definition, definitionen, definitioner	N
definitive	avgörande, avgörande, avgörande	A
degree, degrees	examen, examen, examina	N
delay, delays	fördröjning, fördröjningen, fördröjningar	N
delete, deleted, deleted	 radera, raderade, raderat	V
delivery, deliveries	leverans, leveransen, leveranser	N
denial, denials	avslag, avslaget, avslag	N
density, densities	densitet, densiteten, densiteter	N
dependency, dependencies	beroende, beroendet, beroenden	N
depth, depths	djup, djupet, djup	N
derive, derived, derived	 derivera, deriverade, deriverat	V
description, descriptions	beskrivning, beskrivningen, beskrivningar	N
descriptive	beskrivande, beskrivande, beskrivande	A
design pattern, design patterns	designmönster, designmönstret, designmönster	N
design process, design processes	designprocess, designprocessen, designprocesser	N
design, designed, designed	 designa, designade, designat	V
design, designs	design, designen, designer	N
desirable	önskvärd, önskvärt, önskvärda	A
desktop computer, desktop computers	skrivbordsdator, skrivbordsdatorn, skrivbordsdatorer	N
desktop, desktops	skrivbord, skrivbordet, skrivbord	N
detect, detected, detected	 upptäcka, upptäckte, upptäckt	V
detection, detections	upptäckt, upptäckten, upptäckter	N
determine, determined, determined	 fastställa, fastställde, fastställt	V
deterministic	deterministisk, deterministiskt, deterministiska	A
develop, developed, developed	 utveckla, utvecklade, utvecklat	V
developer, developers	utvecklare, utvecklaren, utvecklare	N
development environment, development environments	utvecklingsmiljö, utvecklingsmiljöen, utvecklingsmiljöer	N
development process, development processes	utvecklingsprocess, utvecklingsprocessen, utvecklingsprocesser	N
development, developments	utveckling, utvecklingen, utvecklingar	N
device driver, device drivers	drivrutin, drivrutinen, drivrutiner	N
device, devices	enhet, enheten, enheter	N
diagram, diagrams	diagram, diagrammet, diagram	N
dictionary, dictionaries	lexikon, lexikonet, lexikon	N
different	annorlunda, annorlunda, annorlunda	A
differentiable	differentierbar, differentierbart, differentierbara	A
differential equation, differential equations	differentialekvation, differentialekvationen, differentialekvationer	N
digital	digital, digitalt, digitala	A
digital signal processor, digital signal processors	signalprocessor, signalprocessorn, signalprocessorer	N
dimension, dimensions	dimension, dimensionen, dimensioner	N
dimensional	dimensionell, dimensionellt, dimensionella	A
diode, diodes	diod, dioden, dioder	N
directional	riktad, riktat, riktade	A
directory, directories	katalog, katalogen, kataloger	N
disaster, disasters	katastrof, katastrofen, katastrofer	N
disc, discs	disk, disken, diskar	N
discovery, discoveries	upptäckt, upptäckten, upptäckter	N
discreet	diskret, diskret, diskreta	A
discrete	diskret, diskret, diskreta	A
discrete mathematics, discrete mathematics	diskret matematik, diskreta matematiken, diskreta matematikar	N
discretionary	oinskränkt, oinskränkt, oinskränkta	A
discuss, discussed, discussed	 diskutera, diskuterade, diskuterat	V
disjunction, disjunctions	disjunktion, disjunktionen, disjunktioner	N
disk, disks	disk, disken, diskar	N
display, displayed, displayed	 uppvisa, uppvisade, uppvisat	V
display, displays	bildskärm, bildskärmen, bildskärmar	N
distribute, distributed, distributed	 distribuera, distribuerade, distribuerat	V
distributed systems, distributed systemses	distribuerat system, distribuerade systemet, distribuerade system	N
distribution, distributions	distribution, distributionen, distributioner	N
distributor, distributors	återförsäljare, återförsäljaren, återförsäljare	N
divide, divided, divided	 dela, delade, delat	V
division, divisions	division, divisionen, divisioner	N
document, documented, documented	 dokumentera, dokumenterade, dokumenterat	V
document, documents	dokument, dokumentet, dokument	N
documentation, documentations	dokumentation, dokumentationen, dokumentationer	N
domain name system, domain name systems	domännamnssystem, domännamnssystemet, domännamnssystem	N
domain name, domain names	domännamn, domännamnet, domännamn	N
domain, domains	domän, domänen, domäner	N
domain-specific language, domain-specific languages	domänspecifikt språk, domänspecifika språket, domänspecifika språk	N
dot, dots	punkt, punkten, punkter	N
double, doubled, doubled	 dubbla, dubblade, dubblat	V
double, doubles	dubbel, dubblet, dubbel	N
download, downloaded, downloaded	 hämta, hämtade, hämtat	V
download, downloads	nedladdning, nedladdningen, nedladdningar	N
drag, dragged, dragged	 dra, drade, drat	V
drive, drives	disk, disken, diskar	N
drop, dropped, dropped	 släppa, släppte, släppt	V
drop, drops	fall, fallet, fall	N
